date,country,network,market_volume
2021-04-26,UK,Unity,298889.0
2021-04-27,UK,Unity,282749.0
2021-04-28,UK,Unity,308106.0
2021-04-29,UK,Unity,325323.0
2021-04-30,UK,Unity,334901.0
2021-05-01,UK,Unity,500078.0
2021-05-02,UK,Unity,452419.0
2021-05-03,UK,Unity,434346.0
2021-05-04,UK,Unity,265368.0
2021-05-05,UK,Unity,228352.0
2021-05-06,UK,Unity,301773.0
2021-05-07,UK,Unity,319782.0
2021-05-08,UK,Unity,443238.0
2021-05-09,UK,Unity,447165.0
2021-05-10,UK,Unity,291658.0
2021-05-11,UK,Unity,207402.0
2021-05-12,UK,Unity,235528.0
2021-05-13,UK,Unity,257427.0
2021-05-14,UK,Unity,298699.0
2021-05-15,UK,Unity,497796.0
2021-05-16,UK,Unity,435895.0
2021-05-17,UK,Unity,291829.0
2021-05-18,UK,Unity,261276.0
2021-05-19,UK,Unity,221407.0
2021-05-20,UK,Unity,327982.0
2021-05-21,UK,Unity,350806.0
2021-05-22,UK,Unity,511869.0
2021-05-23,UK,Unity,506551.0
2021-05-24,UK,Unity,232442.0
2021-05-25,UK,Unity,247217.0
2021-05-26,UK,Unity,327571.0
2021-05-27,UK,Unity,285550.0
2021-05-28,UK,Unity,308170.0
2021-05-29,UK,Unity,406097.0
2021-05-30,UK,Unity,363091.0
2021-05-31,UK,Unity,362718.0
2021-06-01,UK,Unity,361534.0
2021-06-02,UK,Unity,357241.0
2021-06-03,UK,Unity,399029.0
2021-06-04,UK,Unity,466004.0
2021-06-05,UK,Unity,475046.0
2021-06-06,UK,Unity,430064.0
2021-06-07,UK,Unity,310685.0
2021-06-08,UK,Unity,246129.0
2021-06-09,UK,Unity,233665.0
2021-06-10,UK,Unity,264240.0
2021-06-11,UK,Unity,303895.0
2021-06-12,UK,Unity,397879.0
2021-06-13,UK,Unity,412784.0
2021-06-14,UK,Unity,298858.0
2021-06-15,UK,Unity,260324.0
2021-06-16,UK,Unity,249099.0
2021-06-17,UK,Unity,248374.0
2021-06-18,UK,Unity,305550.0
2021-06-19,UK,Unity,411339.0
2021-06-20,UK,Unity,433014.0
2021-06-21,UK,Unity,272308.0
2021-06-22,UK,Unity,284887.0
2021-06-23,UK,Unity,224958.0
2021-06-24,UK,Unity,226464.0
2021-06-25,UK,Unity,280649.0
2021-06-26,UK,Unity,377843.0
2021-06-27,UK,Unity,467725.0
2021-06-28,UK,Unity,295775.0
2021-06-29,UK,Unity,254476.0
2021-06-30,UK,Unity,229434.0
2021-07-01,UK,Unity,269706.0
2021-07-02,UK,Unity,268701.0
2021-07-03,UK,Unity,398544.0
2021-07-04,UK,Unity,423412.0
2021-07-05,UK,Unity,263797.0
2021-07-06,UK,Unity,260536.0
2021-07-07,UK,Unity,267139.0
2021-07-08,UK,Unity,275474.0
2021-07-09,UK,Unity,295105.0
2021-07-10,UK,Unity,508121.0
2021-07-11,UK,Unity,469154.0
2021-07-12,UK,Unity,328681.0
2021-07-13,UK,Unity,349813.0
2021-07-14,UK,Unity,314279.0
2021-07-15,UK,Unity,290449.0
2021-07-16,UK,Unity,294631.0
2021-07-17,UK,Unity,376093.0
2021-07-18,UK,Unity,386748.0
2021-07-19,UK,Unity,319048.0
2021-07-20,UK,Unity,382844.0
2021-07-21,UK,Unity,374779.0
2021-07-22,UK,Unity,338275.0
2021-07-23,UK,Unity,486268.0
2021-07-24,UK,Unity,456531.0
2021-07-25,UK,Unity,418983.0
2021-07-26,UK,Unity,325393.0
2021-07-27,UK,Unity,356321.0
2021-07-28,UK,Unity,269277.0
2021-07-29,UK,Unity,242149.0
2021-07-30,UK,Unity,366229.0
2021-07-31,UK,Unity,295712.0
2021-08-01,UK,Unity,379798.0
2021-08-02,UK,Unity,272373.0
2021-08-03,UK,Unity,244462.0
2021-08-04,UK,Unity,327001.0
2021-08-05,UK,Unity,250339.0
2021-08-06,UK,Unity,283934.0
2021-08-07,UK,Unity,327214.0
2021-08-08,UK,Unity,324543.0
2021-08-09,UK,Unity,440604.0
2021-08-10,UK,Unity,388798.0
2021-08-11,UK,Unity,313779.0
2021-08-12,UK,Unity,367377.0
2021-08-13,UK,Unity,314049.0
2021-08-14,UK,Unity,417534.0
2021-08-15,UK,Unity,351287.0
2021-08-16,UK,Unity,390537.0
2021-08-17,UK,Unity,287812.0
2021-08-18,UK,Unity,285869.0
2021-08-19,UK,Unity,331120.0
2021-08-20,UK,Unity,294604.0
2021-08-21,UK,Unity,265547.0
2021-08-22,UK,Unity,254899.0
2021-08-23,UK,Unity,286940.0
2021-08-24,UK,Unity,279981.0
2021-08-25,UK,Unity,338907.0
2021-08-26,UK,Unity,332026.0
