date,country,network,market_volume
2021-04-26,WW,Amazon,41828785.0
2021-04-27,WW,Amazon,43640110.0
2021-04-28,WW,Amazon,37193670.0
2021-04-29,WW,Amazon,36518875.0
2021-04-30,WW,Amazon,46901522.0
2021-05-01,WW,Amazon,53741479.0
2021-05-02,WW,Amazon,58912947.0
2021-05-03,WW,Amazon,45966428.0
2021-05-04,WW,Amazon,44191291.0
2021-05-05,WW,Amazon,48178775.0
2021-05-06,WW,Amazon,43251838.0
2021-05-07,WW,Amazon,39003932.0
2021-05-08,WW,Amazon,44748401.0
2021-05-09,WW,Amazon,47424713.0
2021-05-10,WW,Amazon,31330629.0
2021-05-11,WW,Amazon,32295667.0
2021-05-12,WW,Amazon,35618832.0
2021-05-13,WW,Amazon,37389615.0
2021-05-14,WW,Amazon,29973442.0
2021-05-15,WW,Amazon,29095096.0
2021-05-16,WW,Amazon,28225881.0
2021-05-17,WW,Amazon,24839080.0
2021-05-18,WW,Amazon,29286428.0
2021-05-19,WW,Amazon,24427059.0
2021-05-20,WW,Amazon,23384145.0
2021-05-21,WW,Amazon,25846329.0
2021-05-22,WW,Amazon,29760541.0
2021-05-23,WW,Amazon,34671400.0
2021-05-24,WW,Amazon,23930556.0
2021-05-25,WW,Amazon,21208964.0
2021-05-26,WW,Amazon,21296941.0
2021-05-27,WW,Amazon,21462774.0
2021-05-28,WW,Amazon,23132895.0
2021-05-29,WW,Amazon,32799825.0
2021-05-30,WW,Amazon,26771621.0
2021-05-31,WW,Amazon,21221801.0
2021-06-01,WW,Amazon,20441188.0
2021-06-02,WW,Amazon,21077264.0
2021-06-03,WW,Amazon,20556750.0
2021-06-04,WW,Amazon,22359109.0
2021-06-05,WW,Amazon,27895223.0
2021-06-06,WW,Amazon,27921313.0
2021-06-07,WW,Amazon,24435959.0
2021-06-08,WW,Amazon,23056478.0
2021-06-09,WW,Amazon,30210912.0
2021-06-10,WW,Amazon,39366218.0
2021-06-11,WW,Amazon,29057509.0
2021-06-12,WW,Amazon,41467884.0
2021-06-13,WW,Amazon,44650356.0
2021-06-14,WW,Amazon,32136590.0
2021-06-15,WW,Amazon,35133569.0
2021-06-16,WW,Amazon,36647331.0
2021-06-17,WW,Amazon,47932540.0
2021-06-18,WW,Amazon,55373081.0
2021-06-19,WW,Amazon,57685500.0
2021-06-20,WW,Amazon,56821247.0
2021-06-21,WW,Amazon,53745316.0
2021-06-22,WW,Amazon,51424846.0
2021-06-23,WW,Amazon,52955296.0
2021-06-24,WW,Amazon,41444233.0
2021-06-25,WW,Amazon,43644421.0
2021-06-26,WW,Amazon,57750840.0
