date,country,network,market_volume
2021-04-26,US,Unity,3726979.0
2021-04-27,US,Unity,3553618.0
2021-04-28,US,Unity,3638441.0
2021-04-29,US,Unity,3484937.0
2021-04-30,US,Unity,2756513.0
2021-05-01,US,Unity,5243477.0
2021-05-02,US,Unity,4105413.0
2021-05-03,US,Unity,3016040.0
2021-05-04,US,Unity,3094676.0
2021-05-05,US,Unity,2804058.0
2021-05-06,US,Unity,2580626.0
2021-05-07,US,Unity,4029628.0
2021-05-08,US,Unity,4664230.0
2021-05-09,US,Unity,5431722.0
2021-05-10,US,Unity,3816807.0
2021-05-11,US,Unity,3986999.0
2021-05-12,US,Unity,4008284.0
2021-05-13,US,Unity,3884524.0
2021-05-14,US,Unity,4209394.0
2021-05-15,US,Unity,5709895.0
2021-05-16,US,Unity,5925963.0
2021-05-17,US,Unity,4409204.0
2021-05-18,US,Unity,4094541.0
2021-05-19,US,Unity,4529470.0
2021-05-20,US,Unity,5202400.0
2021-05-21,US,Unity,5093830.0
2021-05-22,US,Unity,5955271.0
2021-05-23,US,Unity,6344388.0
2021-05-24,US,Unity,5254616.0
2021-05-25,US,Unity,4286541.0
2021-05-26,US,Unity,4931854.0
2021-05-27,US,Unity,5033259.0
2021-05-28,US,Unity,6039264.0
2021-05-29,US,Unity,6181401.0
2021-05-30,US,Unity,6755257.0
2021-05-31,US,Unity,5131397.0
2021-06-01,US,Unity,4647681.0
2021-06-02,US,Unity,4433489.0
2021-06-03,US,Unity,4500062.0
2021-06-04,US,Unity,5281506.0
2021-06-05,US,Unity,5583359.0
2021-06-06,US,Unity,5939069.0
2021-06-07,US,Unity,5380882.0
2021-06-08,US,Unity,4517920.0
2021-06-09,US,Unity,4707416.0
2021-06-10,US,Unity,3584085.0
2021-06-11,US,Unity,3733099.0
2021-06-12,US,Unity,4877281.0
2021-06-13,US,Unity,5028830.0
2021-06-14,US,Unity,3807943.0
2021-06-15,US,Unity,3654754.0
2021-06-16,US,Unity,3725469.0
2021-06-17,US,Unity,3847145.0
2021-06-18,US,Unity,3757765.0
2021-06-19,US,Unity,4315752.0
2021-06-20,US,Unity,4792252.0
2021-06-21,US,Unity,4104218.0
2021-06-22,US,Unity,3998337.0
2021-06-23,US,Unity,3637495.0
2021-06-24,US,Unity,3745092.0
2021-06-25,US,Unity,3036993.0
2021-06-26,US,Unity,2802846.0
2021-06-27,US,Unity,3870929.0
2021-06-28,US,Unity,2658495.0
