date,country,network,market_volume
2021-04-26,US,Facebook,7939395.0
2021-04-27,US,Facebook,6292556.0
2021-04-28,US,Facebook,6632100.0
2021-04-29,US,Facebook,6827840.0
2021-04-30,US,Facebook,7428955.0
2021-05-01,US,Facebook,9727674.0
2021-05-02,US,Facebook,9292503.0
2021-05-03,US,Facebook,7755683.0
2021-05-04,US,Facebook,7915488.0
2021-05-05,US,Facebook,7236820.0
2021-05-06,US,Facebook,6562402.0
2021-05-07,US,Facebook,7667263.0
2021-05-08,US,Facebook,9475239.0
2021-05-09,US,Facebook,10732999.0
2021-05-10,US,Facebook,8220684.0
2021-05-11,US,Facebook,7468996.0
2021-05-12,US,Facebook,8433650.0
2021-05-13,US,Facebook,8234890.0
2021-05-14,US,Facebook,9834941.0
2021-05-15,US,Facebook,11392274.0
2021-05-16,US,Facebook,10486709.0
2021-05-17,US,Facebook,7677098.0
2021-05-18,US,Facebook,8260351.0
2021-05-19,US,Facebook,7098868.0
2021-05-20,US,Facebook,8152895.0
2021-05-21,US,Facebook,8215650.0
2021-05-22,US,Facebook,10272598.0
2021-05-23,US,Facebook,10338399.0
2021-05-24,US,Facebook,8213790.0
2021-05-25,US,Facebook,8235515.0
2021-05-26,US,Facebook,8459823.0
2021-05-27,US,Facebook,8447445.0
2021-05-28,US,Facebook,9970068.0
2021-05-29,US,Facebook,10083030.0
2021-05-30,US,Facebook,11134594.0
2021-05-31,US,Facebook,8222258.0
2021-06-01,US,Facebook,7183733.0
2021-06-02,US,Facebook,7029833.0
2021-06-03,US,Facebook,7186424.0
2021-06-04,US,Facebook,7684658.0
2021-06-05,US,Facebook,8833869.0
2021-06-06,US,Facebook,8853277.0
2021-06-07,US,Facebook,6961806.0
2021-06-08,US,Facebook,6667063.0
2021-06-09,US,Facebook,7503161.0
2021-06-10,US,Facebook,6761473.0
2021-06-11,US,Facebook,7425870.0
2021-06-12,US,Facebook,7411165.0
2021-06-13,US,Facebook,8005298.0
2021-06-14,US,Facebook,6867210.0
2021-06-15,US,Facebook,7339147.0
2021-06-16,US,Facebook,7508581.0
2021-06-17,US,Facebook,7924932.0
2021-06-18,US,Facebook,8591563.0
2021-06-19,US,Facebook,9739971.0
2021-06-20,US,Facebook,10733250.0
2021-06-21,US,Facebook,9475850.0
2021-06-22,US,Facebook,9248423.0
2021-06-23,US,Facebook,8806570.0
2021-06-24,US,Facebook,7811461.0
2021-06-25,US,Facebook,8398658.0
2021-06-26,US,Facebook,8644649.0
2021-06-27,US,Facebook,8409898.0
2021-06-28,US,Facebook,7802572.0
2021-06-29,US,Facebook,7625188.0
2021-06-30,US,Facebook,8331820.0
2021-07-01,US,Facebook,7728097.0
2021-07-02,US,Facebook,8467348.0
2021-07-03,US,Facebook,7905669.0
2021-07-04,US,Facebook,7966582.0
2021-07-05,US,Facebook,9436098.0
