date,country,network,market_volume
2021-04-26,UK,Unity,150708.0
2021-04-27,UK,Unity,147710.0
2021-04-28,UK,Unity,161060.0
2021-04-29,UK,Unity,148352.0
2021-04-30,UK,Unity,161342.0
2021-05-01,UK,Unity,264797.0
2021-05-02,UK,Unity,189493.0
2021-05-03,UK,Unity,176694.0
2021-05-04,UK,Unity,133395.0
2021-05-05,UK,Unity,88798.0
2021-05-06,UK,Unity,133225.0
2021-05-07,UK,Unity,151228.0
2021-05-08,UK,Unity,187639.0
2021-05-09,UK,Unity,184179.0
2021-05-10,UK,Unity,122716.0
2021-05-11,UK,Unity,84992.0
2021-05-12,UK,Unity,99443.0
2021-05-13,UK,Unity,100029.0
2021-05-14,UK,Unity,130874.0
2021-05-15,UK,Unity,250690.0
2021-05-16,UK,Unity,198473.0
2021-05-17,UK,Unity,157611.0
2021-05-18,UK,Unity,124114.0
2021-05-19,UK,Unity,100555.0
2021-05-20,UK,Unity,177592.0
2021-05-21,UK,Unity,205400.0
2021-05-22,UK,Unity,315717.0
2021-05-23,UK,Unity,238538.0
2021-05-24,UK,Unity,98181.0
2021-05-25,UK,Unity,122750.0
2021-05-26,UK,Unity,191392.0
2021-05-27,UK,Unity,151209.0
2021-05-28,UK,Unity,141387.0
2021-05-29,UK,Unity,214034.0
2021-05-30,UK,Unity,191321.0
2021-05-31,UK,Unity,169928.0
2021-06-01,UK,Unity,182223.0
2021-06-02,UK,Unity,170641.0
2021-06-03,UK,Unity,185047.0
2021-06-04,UK,Unity,247774.0
2021-06-05,UK,Unity,266097.0
2021-06-06,UK,Unity,242064.0
2021-06-07,UK,Unity,156346.0
2021-06-08,UK,Unity,133905.0
2021-06-09,UK,Unity,113415.0
2021-06-10,UK,Unity,129346.0
2021-06-11,UK,Unity,147761.0
2021-06-12,UK,Unity,205742.0
2021-06-13,UK,Unity,212215.0
2021-06-14,UK,Unity,156445.0
2021-06-15,UK,Unity,141831.0
2021-06-16,UK,Unity,116736.0
