date,country,network,market_volume
2021-04-26,AR,Facebook,137745.0
2021-04-27,AR,Facebook,130577.0
2021-04-28,AR,Facebook,110776.0
2021-04-29,AR,Facebook,125222.0
2021-04-30,AR,Facebook,125133.0
2021-05-01,AR,Facebook,152850.0
2021-05-02,AR,Facebook,172211.0
2021-05-03,AR,Facebook,145811.0
2021-05-04,AR,Facebook,156304.0
2021-05-05,AR,Facebook,148879.0
2021-05-06,AR,Facebook,122075.0
2021-05-07,AR,Facebook,127263.0
2021-05-08,AR,Facebook,159716.0
2021-05-09,AR,Facebook,176682.0
2021-05-10,AR,Facebook,144711.0
2021-05-11,AR,Facebook,110876.0
2021-05-12,AR,Facebook,114160.0
2021-05-13,AR,Facebook,123060.0
2021-05-14,AR,Facebook,63300.0
2021-05-15,AR,Facebook,70006.0
2021-05-16,AR,Facebook,70724.0
2021-05-17,AR,Facebook,50509.0
2021-05-18,AR,Facebook,56250.0
2021-05-19,AR,Facebook,72747.0
2021-05-20,AR,Facebook,71118.0
2021-05-21,AR,Facebook,90862.0
2021-05-22,AR,Facebook,76681.0
2021-05-23,AR,Facebook,111633.0
2021-05-24,AR,Facebook,86662.0
2021-05-25,AR,Facebook,93339.0
2021-05-26,AR,Facebook,85593.0
2021-05-27,AR,Facebook,72827.0
2021-05-28,AR,Facebook,74043.0
2021-05-29,AR,Facebook,86415.0
2021-05-30,AR,Facebook,88467.0
2021-05-31,AR,Facebook,73551.0
2021-06-01,AR,Facebook,68288.0
2021-06-02,AR,Facebook,66906.0
2021-06-03,AR,Facebook,71249.0
2021-06-04,AR,Facebook,77903.0
2021-06-05,AR,Facebook,94846.0
2021-06-06,AR,Facebook,94777.0
2021-06-07,AR,Facebook,73254.0
2021-06-08,AR,Facebook,74123.0
2021-06-09,AR,Facebook,79374.0
2021-06-10,AR,Facebook,72152.0
2021-06-11,AR,Facebook,72181.0
2021-06-12,AR,Facebook,92766.0
2021-06-13,AR,Facebook,91060.0
2021-06-14,AR,Facebook,84704.0
2021-06-15,AR,Facebook,82489.0
2021-06-16,AR,Facebook,84050.0
2021-06-17,AR,Facebook,76742.0
2021-06-18,AR,Facebook,82686.0
2021-06-19,AR,Facebook,78241.0
2021-06-20,AR,Facebook,105679.0
2021-06-21,AR,Facebook,103134.0
2021-06-22,AR,Facebook,83112.0
2021-06-23,AR,Facebook,83742.0
2021-06-24,AR,Facebook,77186.0
2021-06-25,AR,Facebook,75560.0
2021-06-26,AR,Facebook,75978.0
2021-06-27,AR,Facebook,87519.0
2021-06-28,AR,Facebook,183295.0
2021-06-29,AR,Facebook,183809.0
2021-06-30,AR,Facebook,165594.0
2021-07-01,AR,Facebook,84240.0
2021-07-02,AR,Facebook,153115.0
2021-07-03,AR,Facebook,211190.0
2021-07-04,AR,Facebook,210137.0
2021-07-05,AR,Facebook,163320.0
2021-07-06,AR,Facebook,162411.0
2021-07-07,AR,Facebook,156182.0
2021-07-08,AR,Facebook,122589.0
2021-07-09,AR,Facebook,88084.0
2021-07-10,AR,Facebook,90068.0
2021-07-11,AR,Facebook,97451.0
2021-07-12,AR,Facebook,90522.0
2021-07-13,AR,Facebook,88065.0
2021-07-14,AR,Facebook,81750.0
2021-07-15,AR,Facebook,84312.0
2021-07-16,AR,Facebook,75759.0
2021-07-17,AR,Facebook,93334.0
2021-07-18,AR,Facebook,111110.0
2021-07-19,AR,Facebook,97100.0
2021-07-20,AR,Facebook,81329.0
2021-07-21,AR,Facebook,79519.0
2021-07-22,AR,Facebook,89603.0
2021-07-23,AR,Facebook,68284.0
2021-07-24,AR,Facebook,83551.0
2021-07-25,AR,Facebook,92053.0
2021-07-26,AR,Facebook,80432.0
2021-07-27,AR,Facebook,66525.0
2021-07-28,AR,Facebook,62088.0
2021-07-29,AR,Facebook,54272.0
2021-07-30,AR,Facebook,61627.0
2021-07-31,AR,Facebook,72908.0
2021-08-01,AR,Facebook,70781.0
2021-08-02,AR,Facebook,67768.0
2021-08-03,AR,Facebook,55549.0
2021-08-04,AR,Facebook,55528.0
2021-08-05,AR,Facebook,53521.0
2021-08-06,AR,Facebook,57336.0
2021-08-07,AR,Facebook,66274.0
2021-08-08,AR,Facebook,78921.0
2021-08-09,AR,Facebook,48207.0
2021-08-10,AR,Facebook,46024.0
2021-08-11,AR,Facebook,45964.0
2021-08-12,AR,Facebook,45553.0
2021-08-13,AR,Facebook,46656.0
2021-08-14,AR,Facebook,56349.0
2021-08-15,AR,Facebook,61924.0
2021-08-16,AR,Facebook,52150.0
2021-08-17,AR,Facebook,47834.0
2021-08-18,AR,Facebook,45029.0
2021-08-19,AR,Facebook,48744.0
2021-08-20,AR,Facebook,44968.0
2021-08-21,AR,Facebook,53335.0
2021-08-22,AR,Facebook,58229.0
2021-08-23,AR,Facebook,38142.0
2021-08-24,AR,Facebook,40830.0
2021-08-25,AR,Facebook,42958.0
2021-08-26,AR,Facebook,39838.0
2021-08-27,AR,Facebook,51288.0
2021-08-28,AR,Facebook,54245.0
2021-08-29,AR,Facebook,51120.0
2021-08-30,AR,Facebook,41218.0
2021-08-31,AR,Facebook,37264.0
2021-09-01,AR,Facebook,48607.0
2021-09-02,AR,Facebook,49354.0
2021-09-03,AR,Facebook,52561.0
2021-09-04,AR,Facebook,53518.0
2021-09-05,AR,Facebook,60655.0
2021-09-06,AR,Facebook,46198.0
2021-09-07,AR,Facebook,64448.0
2021-09-08,AR,Facebook,51947.0
2021-09-09,AR,Facebook,46896.0
2021-09-10,AR,Facebook,48974.0
2021-09-11,AR,Facebook,65591.0
2021-09-12,AR,Facebook,53775.0
2021-09-13,AR,Facebook,47184.0
2021-09-14,AR,Facebook,39343.0
2021-09-15,AR,Facebook,43710.0
2021-09-16,AR,Facebook,44246.0
2021-09-17,AR,Facebook,46971.0
2021-09-18,AR,Facebook,55101.0
2021-09-19,AR,Facebook,69317.0
2021-09-20,AR,Facebook,45076.0
2021-09-21,AR,Facebook,45164.0
2021-09-22,AR,Facebook,39979.0
2021-09-24,AR,Facebook,41261.0
2021-09-25,AR,Facebook,65096.0
2021-09-26,AR,Facebook,62111.0
2021-09-27,AR,Facebook,51709.0
2021-09-28,AR,Facebook,47614.0
2021-09-29,AR,Facebook,50946.0
2021-09-30,AR,Facebook,52753.0
2021-10-01,AR,Facebook,48980.0
2021-10-02,AR,Facebook,59733.0
2021-10-03,AR,Facebook,64160.0
2021-10-04,AR,Facebook,43940.0
2021-10-05,AR,Facebook,39249.0
2021-10-06,AR,Facebook,41622.0
2021-10-07,AR,Facebook,53486.0
2021-10-08,AR,Facebook,58467.0
2021-10-09,AR,Facebook,62302.0
2021-10-10,AR,Facebook,59228.0
2021-10-11,AR,Facebook,43124.0
2021-10-12,AR,Facebook,37607.0
2021-10-13,AR,Facebook,36780.0
2021-10-14,AR,Facebook,45240.0
2021-10-15,AR,Facebook,54185.0
2021-10-27,AR,Facebook,22407.0
2021-11-05,AR,Facebook,43066.0
2021-11-06,AR,Facebook,61516.0
2021-11-07,AR,Facebook,59859.0
2021-11-08,AR,Facebook,43763.0
2021-11-09,AR,Facebook,40554.0
2021-11-10,AR,Facebook,41126.0
2021-11-11,AR,Facebook,33822.0
2021-11-12,AR,Facebook,51728.0
2021-11-13,AR,Facebook,32986.0
2021-11-14,AR,Facebook,50790.0
2021-11-15,AR,Facebook,30504.0
2021-11-16,AR,Facebook,30300.0
2021-11-17,AR,Facebook,45876.0
2021-11-18,AR,Facebook,29128.0
2021-11-19,AR,Facebook,35590.0
2021-11-20,AR,Facebook,59078.0
2021-11-21,AR,Facebook,46224.0
2021-11-22,AR,Facebook,48696.0
2021-11-23,AR,Facebook,36914.0
2021-11-24,AR,Facebook,41932.0
2021-11-25,AR,Facebook,45872.0
2021-11-26,AR,Facebook,39732.0
2021-11-27,AR,Facebook,61235.0
2021-11-28,AR,Facebook,43209.0
