date,country,network,market_volume
2021-04-26,WW,other,9474019.0
2021-04-27,WW,other,9825472.0
2021-04-28,WW,other,10057734.0
2021-04-29,WW,other,10401510.0
2021-04-30,WW,other,11629423.0
2021-05-01,WW,other,11501444.0
2021-05-02,WW,other,10309309.0
2021-05-03,WW,other,8969487.0
2021-05-04,WW,other,8567861.0
2021-05-05,WW,other,10055123.0
2021-05-06,WW,other,10211911.0
2021-05-07,WW,other,10363703.0
2021-05-08,WW,other,11816400.0
2021-05-09,WW,other,9495930.0
2021-05-10,WW,other,9672817.0
2021-05-11,WW,other,9677717.0
2021-05-12,WW,other,10109743.0
2021-05-13,WW,other,10436385.0
2021-05-14,WW,other,9361892.0
2021-05-15,WW,other,11403508.0
2021-05-16,WW,other,12744796.0
2021-05-17,WW,other,8799840.0
2021-05-18,WW,other,10410506.0
2021-05-19,WW,other,9031717.0
2021-05-20,WW,other,9069884.0
2021-05-21,WW,other,11797797.0
2021-05-22,WW,other,12767454.0
2021-05-23,WW,other,13087680.0
2021-05-24,WW,other,9861993.0
2021-05-25,WW,other,10833721.0
2021-05-26,WW,other,11430447.0
2021-05-27,WW,other,11313022.0
2021-05-28,WW,other,12396175.0
2021-05-29,WW,other,13797735.0
2021-05-30,WW,other,11718333.0
2021-05-31,WW,other,10141627.0
2021-06-01,WW,other,9695352.0
2021-06-02,WW,other,11323726.0
2021-06-03,WW,other,12177665.0
2021-06-04,WW,other,12670808.0
2021-06-05,WW,other,14310066.0
2021-06-06,WW,other,14033555.0
2021-06-07,WW,other,11801215.0
2021-06-08,WW,other,11191426.0
2021-06-09,WW,other,8481628.0
2021-06-10,WW,other,8959886.0
2021-06-11,WW,other,10479956.0
2021-06-12,WW,other,11577629.0
2021-06-13,WW,other,12228640.0
2021-06-14,WW,other,10491445.0
2021-06-15,WW,other,9679854.0
2021-06-16,WW,other,8828195.0
2021-06-17,WW,other,9007584.0
2021-06-18,WW,other,10355830.0
2021-06-19,WW,other,9188504.0
2021-06-20,WW,other,9356774.0
