date,country,network,market_volume
2021-04-26,AR,other,566.0
2021-04-27,AR,other,582.0
2021-04-28,AR,other,569.0
2021-04-29,AR,other,701.0
2021-04-30,AR,other,634.0
2021-05-01,AR,other,874.0
2021-05-02,AR,other,893.0
2021-05-03,AR,other,774.0
2021-05-04,AR,other,639.0
2021-05-05,AR,other,584.0
2021-05-06,AR,other,630.0
2021-05-07,AR,other,701.0
2021-05-08,AR,other,813.0
2021-05-09,AR,other,823.0
2021-05-10,AR,other,524.0
2021-05-11,AR,other,503.0
2021-05-12,AR,other,520.0
2021-05-13,AR,other,623.0
2021-05-14,AR,other,557.0
2021-05-15,AR,other,574.0
2021-05-16,AR,other,681.0
2021-05-17,AR,other,490.0
2021-05-18,AR,other,539.0
2021-05-19,AR,other,605.0
2021-05-20,AR,other,520.0
2021-05-21,AR,other,666.0
2021-05-22,AR,other,1024.0
2021-05-23,AR,other,857.0
2021-05-24,AR,other,697.0
2021-05-25,AR,other,809.0
2021-05-26,AR,other,710.0
2021-05-27,AR,other,859.0
2021-05-28,AR,other,693.0
2021-05-29,AR,other,968.0
2021-05-30,AR,other,907.0
2021-05-31,AR,other,593.0
2021-06-01,AR,other,1006.0
2021-06-02,AR,other,703.0
2021-06-03,AR,other,1025.0
2021-06-04,AR,other,898.0
2021-06-05,AR,other,1118.0
2021-06-06,AR,other,686.0
2021-06-07,AR,other,684.0
2021-06-08,AR,other,631.0
2021-06-09,AR,other,605.0
2021-06-10,AR,other,582.0
2021-06-11,AR,other,956.0
2021-06-12,AR,other,969.0
2021-06-13,AR,other,1254.0
2021-06-14,AR,other,1097.0
2021-06-15,AR,other,1023.0
2021-06-16,AR,other,1017.0
2021-06-17,AR,other,673.0
2021-06-18,AR,other,666.0
2021-06-19,AR,other,892.0
2021-06-20,AR,other,962.0
2021-06-21,AR,other,1055.0
2021-06-22,AR,other,652.0
2021-06-23,AR,other,666.0
2021-06-24,AR,other,580.0
2021-06-25,AR,other,509.0
2021-06-26,AR,other,813.0
2021-06-27,AR,other,845.0
2021-06-28,AR,other,708.0
2021-06-29,AR,other,678.0
2021-06-30,AR,other,590.0
2021-07-01,AR,other,643.0
2021-07-02,AR,other,581.0
2021-07-03,AR,other,580.0
2021-07-04,AR,other,911.0
2021-07-05,AR,other,520.0
2021-07-06,AR,other,623.0
2021-07-07,AR,other,676.0
2021-07-08,AR,other,611.0
2021-07-09,AR,other,680.0
2021-07-10,AR,other,759.0
2021-07-11,AR,other,698.0
2021-07-12,AR,other,785.0
2021-07-13,AR,other,515.0
2021-07-14,AR,other,659.0
2021-07-15,AR,other,699.0
2021-07-16,AR,other,739.0
2021-07-17,AR,other,902.0
2021-07-18,AR,other,988.0
2021-07-19,AR,other,774.0
2021-07-20,AR,other,788.0
2021-07-21,AR,other,1227.0
2021-07-22,AR,other,994.0
2021-07-23,AR,other,1070.0
2021-07-24,AR,other,924.0
2021-07-25,AR,other,1066.0
2021-07-26,AR,other,942.0
2021-07-27,AR,other,1218.0
2021-07-28,AR,other,1086.0
2021-07-29,AR,other,1142.0
2021-07-30,AR,other,654.0
2021-07-31,AR,other,1013.0
2021-08-01,AR,other,971.0
2021-08-02,AR,other,616.0
2021-08-03,AR,other,720.0
2021-08-04,AR,other,612.0
2021-08-05,AR,other,784.0
2021-08-06,AR,other,832.0
2021-08-07,AR,other,1132.0
2021-08-08,AR,other,1739.0
2021-08-09,AR,other,651.0
2021-08-10,AR,other,667.0
2021-08-11,AR,other,428.0
2021-08-12,AR,other,578.0
2021-08-13,AR,other,624.0
2021-08-14,AR,other,918.0
2021-08-15,AR,other,875.0
2021-08-16,AR,other,687.0
2021-08-17,AR,other,620.0
2021-08-18,AR,other,554.0
2021-08-19,AR,other,488.0
2021-08-20,AR,other,493.0
2021-08-21,AR,other,544.0
2021-08-22,AR,other,638.0
2021-08-23,AR,other,493.0
2021-08-24,AR,other,485.0
2021-08-25,AR,other,488.0
2021-08-26,AR,other,469.0
2021-08-27,AR,other,613.0
2021-08-28,AR,other,737.0
2021-08-29,AR,other,619.0
2021-08-30,AR,other,509.0
2021-08-31,AR,other,504.0
2021-09-01,AR,other,575.0
2021-09-02,AR,other,536.0
2021-09-03,AR,other,340.0
2021-09-04,AR,other,512.0
2021-09-05,AR,other,537.0
2021-09-06,AR,other,314.0
2021-09-07,AR,other,434.0
2021-09-08,AR,other,441.0
2021-09-09,AR,other,590.0
2021-09-10,AR,other,416.0
2021-09-11,AR,other,515.0
2021-09-12,AR,other,558.0
2021-09-13,AR,other,585.0
2021-09-14,AR,other,507.0
2021-09-15,AR,other,377.0
2021-09-16,AR,other,438.0
2021-09-17,AR,other,430.0
2021-09-18,AR,other,553.0
