date,country,network,market_volume
2021-04-26,AR,IronSource,2817.0
2021-04-27,AR,IronSource,5316.0
2021-04-28,AR,IronSource,4512.0
2021-04-29,AR,IronSource,2507.0
2021-04-30,AR,IronSource,2574.0
2021-05-01,AR,IronSource,6117.0
2021-05-02,AR,IronSource,2280.0
2021-05-03,AR,IronSource,2117.0
2021-05-04,AR,IronSource,3788.0
2021-05-05,AR,IronSource,2115.0
2021-05-06,AR,IronSource,4097.0
2021-05-07,AR,IronSource,3058.0
2021-05-08,AR,IronSource,4001.0
2021-05-09,AR,IronSource,4571.0
2021-05-10,AR,IronSource,4925.0
2021-05-11,AR,IronSource,10182.0
2021-05-12,AR,IronSource,2062.0
2021-05-13,AR,IronSource,5204.0
2021-05-14,AR,IronSource,3051.0
2021-05-15,AR,IronSource,7202.0
2021-05-16,AR,IronSource,4007.0
2021-05-17,AR,IronSource,2220.0
2021-05-18,AR,IronSource,3763.0
2021-05-19,AR,IronSource,4415.0
2021-05-20,AR,IronSource,6993.0
2021-05-21,AR,IronSource,8643.0
2021-05-22,AR,IronSource,3550.0
2021-05-23,AR,IronSource,8004.0
2021-05-24,AR,IronSource,7240.0
2021-05-25,AR,IronSource,8348.0
2021-05-26,AR,IronSource,2401.0
2021-05-27,AR,IronSource,6104.0
2021-05-28,AR,IronSource,17149.0
2021-05-29,AR,IronSource,3814.0
2021-05-30,AR,IronSource,10578.0
2021-05-31,AR,IronSource,2135.0
2021-06-01,AR,IronSource,5346.0
2021-06-02,AR,IronSource,3969.0
2021-06-03,AR,IronSource,3113.0
2021-06-04,AR,IronSource,14105.0
2021-06-05,AR,IronSource,5290.0
2021-06-06,AR,IronSource,4310.0
2021-06-07,AR,IronSource,6684.0
2021-06-08,AR,IronSource,4373.0
2021-06-09,AR,IronSource,3554.0
2021-06-10,AR,IronSource,1887.0
2021-06-11,AR,IronSource,4529.0
2021-06-12,AR,IronSource,2992.0
2021-06-13,AR,IronSource,6822.0
2021-06-14,AR,IronSource,15701.0
2021-06-15,AR,IronSource,9636.0
2021-06-16,AR,IronSource,3608.0
2021-06-17,AR,IronSource,12629.0
2021-06-18,AR,IronSource,5243.0
2021-06-19,AR,IronSource,5972.0
2021-06-20,AR,IronSource,11182.0
2021-06-21,AR,IronSource,2047.0
2021-06-22,AR,IronSource,2684.0
2021-06-23,AR,IronSource,14955.0
2021-06-25,AR,IronSource,5138.0
2021-06-27,AR,IronSource,1934.0
2021-06-29,AR,IronSource,8660.0
2021-06-30,AR,IronSource,6555.0
2021-07-01,AR,IronSource,16048.0
2021-07-02,AR,IronSource,8049.0
2021-07-05,AR,IronSource,3642.0
2021-07-06,AR,IronSource,7842.0
2021-07-07,AR,IronSource,2595.0
2021-07-09,AR,IronSource,5983.0
2021-07-10,AR,IronSource,7211.0
2021-07-11,AR,IronSource,2879.0
2021-07-12,AR,IronSource,2122.0
2021-07-14,AR,IronSource,2743.0
2021-07-17,AR,IronSource,5247.0
2021-07-18,AR,IronSource,1740.0
2021-07-19,AR,IronSource,2380.0
2021-07-24,AR,IronSource,9286.0
2021-07-25,AR,IronSource,3215.0
2021-07-26,AR,IronSource,5549.0
2021-07-29,AR,IronSource,622.0
2021-08-01,AR,IronSource,2558.0
2021-08-02,AR,IronSource,2734.0
2021-08-03,AR,IronSource,2699.0
2021-08-04,AR,IronSource,1431.0
2021-08-08,AR,IronSource,7673.0
2021-08-12,AR,IronSource,2352.0
2021-08-13,AR,IronSource,849.0
2021-08-14,AR,IronSource,1787.0
2021-08-16,AR,IronSource,2837.0
2021-08-17,AR,IronSource,7912.0
2021-08-18,AR,IronSource,3175.0
2021-08-19,AR,IronSource,7486.0
2021-08-20,AR,IronSource,3645.0
2021-08-21,AR,IronSource,5783.0
2021-08-22,AR,IronSource,4226.0
2021-08-23,AR,IronSource,2737.0
2021-08-24,AR,IronSource,4468.0
2021-08-25,AR,IronSource,3014.0
2021-08-26,AR,IronSource,2836.0
2021-08-27,AR,IronSource,4620.0
2021-08-28,AR,IronSource,2909.0
2021-08-29,AR,IronSource,2504.0
2021-08-30,AR,IronSource,3058.0
2021-08-31,AR,IronSource,2452.0
2021-09-01,AR,IronSource,3154.0
2021-09-02,AR,IronSource,2318.0
2021-09-03,AR,IronSource,3077.0
2021-09-04,AR,IronSource,3574.0
2021-09-05,AR,IronSource,4931.0
2021-09-06,AR,IronSource,4026.0
