date,country,network,market_volume
2021-04-26,US,AppLovin,2277913.0
2021-04-27,US,AppLovin,1919735.0
2021-04-28,US,AppLovin,1950144.0
2021-04-29,US,AppLovin,1812395.0
2021-04-30,US,AppLovin,1982548.0
2021-05-01,US,AppLovin,2756156.0
2021-05-02,US,AppLovin,2764742.0
2021-05-03,US,AppLovin,1625942.0
2021-05-04,US,AppLovin,2150134.0
2021-05-05,US,AppLovin,1626620.0
2021-05-06,US,AppLovin,1726189.0
2021-05-07,US,AppLovin,1919513.0
2021-05-08,US,AppLovin,2507305.0
2021-05-09,US,AppLovin,3165199.0
2021-05-10,US,AppLovin,1986861.0
2021-05-11,US,AppLovin,1860956.0
2021-05-12,US,AppLovin,2063502.0
2021-05-13,US,AppLovin,1886486.0
2021-05-14,US,AppLovin,2363512.0
2021-05-15,US,AppLovin,2636736.0
2021-05-16,US,AppLovin,2703969.0
2021-05-17,US,AppLovin,2107179.0
2021-05-18,US,AppLovin,2109057.0
2021-05-19,US,AppLovin,1622642.0
2021-05-20,US,AppLovin,1851612.0
2021-05-21,US,AppLovin,2713420.0
2021-05-22,US,AppLovin,3133127.0
2021-05-23,US,AppLovin,2562448.0
2021-05-24,US,AppLovin,2627676.0
2021-05-25,US,AppLovin,1874871.0
2021-05-26,US,AppLovin,2648678.0
2021-05-27,US,AppLovin,2584994.0
2021-05-28,US,AppLovin,3141816.0
2021-05-29,US,AppLovin,2988837.0
2021-05-30,US,AppLovin,3603762.0
2021-05-31,US,AppLovin,1738586.0
2021-06-01,US,AppLovin,1520046.0
2021-06-02,US,AppLovin,1891855.0
2021-06-03,US,AppLovin,1768080.0
2021-06-04,US,AppLovin,1887627.0
2021-06-05,US,AppLovin,3224844.0
2021-06-06,US,AppLovin,2368251.0
2021-06-07,US,AppLovin,2680618.0
2021-06-08,US,AppLovin,1619262.0
2021-06-09,US,AppLovin,2285338.0
2021-06-10,US,AppLovin,1629370.0
2021-06-11,US,AppLovin,1732254.0
2021-06-12,US,AppLovin,1941896.0
2021-06-13,US,AppLovin,2837372.0
2021-06-14,US,AppLovin,2512849.0
2021-06-15,US,AppLovin,2620998.0
2021-06-16,US,AppLovin,2562147.0
2021-06-17,US,AppLovin,2566119.0
2021-06-18,US,AppLovin,2620520.0
2021-06-19,US,AppLovin,3183693.0
2021-06-20,US,AppLovin,2913684.0
2021-06-21,US,AppLovin,2706447.0
2021-06-22,US,AppLovin,2982772.0
2021-06-23,US,AppLovin,2747368.0
2021-06-24,US,AppLovin,2308776.0
2021-06-25,US,AppLovin,2502540.0
2021-06-26,US,AppLovin,2446199.0
2021-06-27,US,AppLovin,2423163.0
2021-06-28,US,AppLovin,2200005.0
2021-06-29,US,AppLovin,2337386.0
2021-06-30,US,AppLovin,1970815.0
2021-07-01,US,AppLovin,2072470.0
2021-07-02,US,AppLovin,2251600.0
2021-07-03,US,AppLovin,2198510.0
2021-07-04,US,AppLovin,2254719.0
2021-07-05,US,AppLovin,2347486.0
2021-07-06,US,AppLovin,2007353.0
2021-07-07,US,AppLovin,1890308.0
2021-07-08,US,AppLovin,1740734.0
2021-07-09,US,AppLovin,1714202.0
2021-07-10,US,AppLovin,1843443.0
2021-07-11,US,AppLovin,1992234.0
2021-07-12,US,AppLovin,1815828.0
2021-07-13,US,AppLovin,2425039.0
2021-07-14,US,AppLovin,2421583.0
2021-07-15,US,AppLovin,2310434.0
2021-07-16,US,AppLovin,1757227.0
2021-07-17,US,AppLovin,2374823.0
2021-07-18,US,AppLovin,2676401.0
2021-07-19,US,AppLovin,2547027.0
2021-07-20,US,AppLovin,1778975.0
2021-07-21,US,AppLovin,1688631.0
2021-07-22,US,AppLovin,1595244.0
2021-07-23,US,AppLovin,1626896.0
2021-07-24,US,AppLovin,1795614.0
2021-07-25,US,AppLovin,2054967.0
2021-07-26,US,AppLovin,1666156.0
2021-07-27,US,AppLovin,2086632.0
2021-07-28,US,AppLovin,1901017.0
2021-07-29,US,AppLovin,1812502.0
2021-07-30,US,AppLovin,1962368.0
2021-07-31,US,AppLovin,2104042.0
2021-08-01,US,AppLovin,2218277.0
2021-08-02,US,AppLovin,1995079.0
2021-08-03,US,AppLovin,1886075.0
2021-08-04,US,AppLovin,1878870.0
2021-08-05,US,AppLovin,1764660.0
2021-08-06,US,AppLovin,1985225.0
2021-08-07,US,AppLovin,2408293.0
2021-08-08,US,AppLovin,2347197.0
2021-08-09,US,AppLovin,1834848.0
2021-08-10,US,AppLovin,1619617.0
2021-08-11,US,AppLovin,1649097.0
2021-08-12,US,AppLovin,1773293.0
2021-08-13,US,AppLovin,1819830.0
2021-08-14,US,AppLovin,1971144.0
2021-08-15,US,AppLovin,2465495.0
