date,country,network,market_volume
2021-04-26,US,Amazon,1744532.0
2021-04-27,US,Amazon,1680699.0
2021-04-28,US,Amazon,1815227.0
2021-04-29,US,Amazon,1737334.0
2021-04-30,US,Amazon,1889698.0
2021-05-01,US,Amazon,2536353.0
2021-05-02,US,Amazon,2875146.0
2021-05-03,US,Amazon,2048972.0
2021-05-04,US,Amazon,1992008.0
2021-05-05,US,Amazon,1922400.0
2021-05-06,US,Amazon,1579011.0
2021-05-07,US,Amazon,1816060.0
2021-05-08,US,Amazon,2262262.0
2021-05-09,US,Amazon,2572478.0
2021-05-10,US,Amazon,1907120.0
2021-05-11,US,Amazon,1739730.0
2021-05-12,US,Amazon,1713576.0
2021-05-13,US,Amazon,1614564.0
2021-05-14,US,Amazon,2183470.0
2021-05-15,US,Amazon,2765723.0
2021-05-16,US,Amazon,2733204.0
2021-05-17,US,Amazon,1981540.0
2021-05-18,US,Amazon,1988832.0
2021-05-19,US,Amazon,1927360.0
2021-05-20,US,Amazon,2390340.0
2021-05-21,US,Amazon,2653519.0
2021-05-22,US,Amazon,2811991.0
2021-05-23,US,Amazon,3045593.0
2021-05-24,US,Amazon,2462364.0
2021-05-25,US,Amazon,2392096.0
2021-05-26,US,Amazon,2329502.0
2021-05-27,US,Amazon,2326407.0
2021-05-28,US,Amazon,2908716.0
2021-05-29,US,Amazon,3313117.0
2021-05-30,US,Amazon,3397642.0
2021-05-31,US,Amazon,2764959.0
2021-06-01,US,Amazon,1809723.0
2021-06-02,US,Amazon,1709288.0
2021-06-03,US,Amazon,1586816.0
2021-06-04,US,Amazon,1623124.0
2021-06-05,US,Amazon,2092444.0
2021-06-06,US,Amazon,2248960.0
2021-06-07,US,Amazon,2542775.0
2021-06-08,US,Amazon,2140551.0
2021-06-09,US,Amazon,2403582.0
2021-06-10,US,Amazon,2413517.0
2021-06-11,US,Amazon,2449808.0
2021-06-12,US,Amazon,2872965.0
2021-06-13,US,Amazon,3237915.0
2021-06-14,US,Amazon,3009561.0
2021-06-15,US,Amazon,2928738.0
2021-06-16,US,Amazon,2857609.0
2021-06-17,US,Amazon,2653786.0
2021-06-18,US,Amazon,3179155.0
2021-06-19,US,Amazon,2896776.0
2021-06-20,US,Amazon,3087921.0
2021-06-21,US,Amazon,3541879.0
2021-06-22,US,Amazon,3485435.0
2021-06-23,US,Amazon,3448818.0
2021-06-24,US,Amazon,2447260.0
2021-06-25,US,Amazon,2608300.0
2021-06-26,US,Amazon,2959195.0
2021-06-27,US,Amazon,2730476.0
2021-06-28,US,Amazon,2807835.0
2021-06-29,US,Amazon,2822609.0
2021-06-30,US,Amazon,2547514.0
2021-07-01,US,Amazon,2277250.0
2021-07-02,US,Amazon,2780245.0
2021-07-03,US,Amazon,2537136.0
