date,country,network,market_volume
2021-04-26,UK,AppLovin,290395.0
2021-04-27,UK,AppLovin,353188.0
2021-04-28,UK,AppLovin,268901.0
2021-04-29,UK,AppLovin,232523.0
2021-04-30,UK,AppLovin,295752.0
2021-05-01,UK,AppLovin,320597.0
2021-05-02,UK,AppLovin,377321.0
2021-05-03,UK,AppLovin,418684.0
2021-05-04,UK,AppLovin,269294.0
2021-05-05,UK,AppLovin,237365.0
2021-05-06,UK,AppLovin,246371.0
2021-05-07,UK,AppLovin,237822.0
2021-05-08,UK,AppLovin,392230.0
2021-05-09,UK,AppLovin,330098.0
2021-05-10,UK,AppLovin,243961.0
2021-05-11,UK,AppLovin,301902.0
2021-05-12,UK,AppLovin,218950.0
2021-05-13,UK,AppLovin,243323.0
2021-05-14,UK,AppLovin,272413.0
2021-05-15,UK,AppLovin,475608.0
2021-05-16,UK,AppLovin,404636.0
2021-05-17,UK,AppLovin,309041.0
2021-05-18,UK,AppLovin,321666.0
2021-05-19,UK,AppLovin,328487.0
2021-05-20,UK,AppLovin,386251.0
2021-05-21,UK,AppLovin,284034.0
2021-05-22,UK,AppLovin,450924.0
2021-05-23,UK,AppLovin,462635.0
2021-05-24,UK,AppLovin,228693.0
2021-05-25,UK,AppLovin,321737.0
2021-05-26,UK,AppLovin,246566.0
2021-05-27,UK,AppLovin,243800.0
2021-05-28,UK,AppLovin,277413.0
2021-05-29,UK,AppLovin,388660.0
2021-05-30,UK,AppLovin,352936.0
2021-05-31,UK,AppLovin,344866.0
2021-06-01,UK,AppLovin,315114.0
2021-06-02,UK,AppLovin,347236.0
2021-06-03,UK,AppLovin,297657.0
2021-06-04,UK,AppLovin,331161.0
2021-06-05,UK,AppLovin,411164.0
2021-06-06,UK,AppLovin,388590.0
2021-06-07,UK,AppLovin,230212.0
2021-06-08,UK,AppLovin,209930.0
2021-06-09,UK,AppLovin,176875.0
2021-06-10,UK,AppLovin,202934.0
2021-06-11,UK,AppLovin,221942.0
2021-06-12,UK,AppLovin,298367.0
2021-06-13,UK,AppLovin,325492.0
2021-06-14,UK,AppLovin,220765.0
2021-06-15,UK,AppLovin,265217.0
2021-06-16,UK,AppLovin,262623.0
2021-06-17,UK,AppLovin,264454.0
2021-06-18,UK,AppLovin,300379.0
2021-06-19,UK,AppLovin,358471.0
2021-06-20,UK,AppLovin,401366.0
2021-06-21,UK,AppLovin,233090.0
2021-06-22,UK,AppLovin,256469.0
2021-06-23,UK,AppLovin,266011.0
2021-06-24,UK,AppLovin,297423.0
2021-06-25,UK,AppLovin,333633.0
2021-06-26,UK,AppLovin,464012.0
2021-06-27,UK,AppLovin,423783.0
2021-06-28,UK,AppLovin,242685.0
2021-06-29,UK,AppLovin,283726.0
2021-06-30,UK,AppLovin,322352.0
2021-07-01,UK,AppLovin,273301.0
2021-07-02,UK,AppLovin,211008.0
2021-07-03,UK,AppLovin,336621.0
2021-07-04,UK,AppLovin,369070.0
2021-07-05,UK,AppLovin,228408.0
2021-07-06,UK,AppLovin,242690.0
2021-07-07,UK,AppLovin,207150.0
2021-07-08,UK,AppLovin,184063.0
2021-07-09,UK,AppLovin,224731.0
2021-07-10,UK,AppLovin,313526.0
2021-07-11,UK,AppLovin,352280.0
2021-07-12,UK,AppLovin,211373.0
2021-07-13,UK,AppLovin,343382.0
2021-07-14,UK,AppLovin,256955.0
2021-07-15,UK,AppLovin,255652.0
2021-07-16,UK,AppLovin,311388.0
2021-07-17,UK,AppLovin,380141.0
2021-07-18,UK,AppLovin,372545.0
2021-07-19,UK,AppLovin,315808.0
2021-07-20,UK,AppLovin,227329.0
2021-07-21,UK,AppLovin,211813.0
2021-07-22,UK,AppLovin,254669.0
2021-07-23,UK,AppLovin,281954.0
2021-07-24,UK,AppLovin,276656.0
2021-07-25,UK,AppLovin,339947.0
2021-07-26,UK,AppLovin,248228.0
2021-07-27,UK,AppLovin,250645.0
2021-07-28,UK,AppLovin,229830.0
2021-07-29,UK,AppLovin,214667.0
2021-07-30,UK,AppLovin,222072.0
2021-07-31,UK,AppLovin,251595.0
2021-08-01,UK,AppLovin,245433.0
2021-08-02,UK,AppLovin,230437.0
2021-08-03,UK,AppLovin,217935.0
2021-08-04,UK,AppLovin,188408.0
2021-08-05,UK,AppLovin,233882.0
2021-08-06,UK,AppLovin,255637.0
2021-08-07,UK,AppLovin,245237.0
2021-08-08,UK,AppLovin,315138.0
2021-08-09,UK,AppLovin,212750.0
2021-08-10,UK,AppLovin,267156.0
2021-08-11,UK,AppLovin,297295.0
2021-08-12,UK,AppLovin,280833.0
2021-08-13,UK,AppLovin,232962.0
2021-08-14,UK,AppLovin,296299.0
2021-08-15,UK,AppLovin,270330.0
2021-08-16,UK,AppLovin,247128.0
2021-08-17,UK,AppLovin,213480.0
2021-08-18,UK,AppLovin,273965.0
2021-08-19,UK,AppLovin,252960.0
2021-08-20,UK,AppLovin,257714.0
2021-08-21,UK,AppLovin,234699.0
2021-08-22,UK,AppLovin,285310.0
2021-08-23,UK,AppLovin,239613.0
2021-08-24,UK,AppLovin,211119.0
2021-08-25,UK,AppLovin,227656.0
2021-08-26,UK,AppLovin,234078.0
2021-08-27,UK,AppLovin,221098.0
2021-08-28,UK,AppLovin,299429.0
2021-08-29,UK,AppLovin,297834.0
2021-08-30,UK,AppLovin,210663.0
2021-08-31,UK,AppLovin,184865.0
2021-09-01,UK,AppLovin,280515.0
2021-09-02,UK,AppLovin,226526.0
2021-09-03,UK,AppLovin,215975.0
2021-09-04,UK,AppLovin,279557.0
2021-09-05,UK,AppLovin,278987.0
2021-09-06,UK,AppLovin,199636.0
2021-09-07,UK,AppLovin,183713.0
2021-09-08,UK,AppLovin,170835.0
2021-09-09,UK,AppLovin,214261.0
2021-09-10,UK,AppLovin,276235.0
2021-09-11,UK,AppLovin,330688.0
2021-09-12,UK,AppLovin,424124.0
2021-09-13,UK,AppLovin,223724.0
2021-09-14,UK,AppLovin,250961.0
2021-09-15,UK,AppLovin,265548.0
2021-09-16,UK,AppLovin,180267.0
2021-09-17,UK,AppLovin,287075.0
2021-09-18,UK,AppLovin,420164.0
