date,country,network,market_volume
2021-04-26,AR,IronSource,27488.0
2021-04-27,AR,IronSource,48850.0
2021-04-28,AR,IronSource,41720.0
2021-04-29,AR,IronSource,47504.0
2021-04-30,AR,IronSource,47637.0
2021-05-01,AR,IronSource,40756.0
2021-05-02,AR,IronSource,41092.0
2021-05-03,AR,IronSource,27768.0
2021-05-04,AR,IronSource,24615.0
2021-05-05,AR,IronSource,25344.0
2021-05-06,AR,IronSource,21181.0
2021-05-07,AR,IronSource,25903.0
2021-05-08,AR,IronSource,41874.0
2021-05-09,AR,IronSource,35394.0
2021-05-10,AR,IronSource,31558.0
2021-05-11,AR,IronSource,21163.0
2021-05-12,AR,IronSource,45001.0
2021-05-13,AR,IronSource,37814.0
2021-05-14,AR,IronSource,47314.0
2021-05-15,AR,IronSource,50377.0
2021-05-16,AR,IronSource,57472.0
2021-05-17,AR,IronSource,25589.0
2021-05-18,AR,IronSource,31433.0
2021-05-19,AR,IronSource,38352.0
2021-05-20,AR,IronSource,32815.0
2021-05-21,AR,IronSource,59631.0
2021-05-22,AR,IronSource,63177.0
2021-05-23,AR,IronSource,89203.0
2021-05-24,AR,IronSource,59989.0
2021-05-25,AR,IronSource,65068.0
2021-05-26,AR,IronSource,53352.0
2021-05-27,AR,IronSource,75359.0
2021-05-28,AR,IronSource,62295.0
2021-05-29,AR,IronSource,64954.0
2021-05-30,AR,IronSource,70256.0
2021-05-31,AR,IronSource,64245.0
2021-06-01,AR,IronSource,58347.0
2021-06-02,AR,IronSource,57844.0
2021-06-03,AR,IronSource,75270.0
2021-06-04,AR,IronSource,76087.0
2021-06-05,AR,IronSource,90134.0
2021-06-06,AR,IronSource,84342.0
2021-06-07,AR,IronSource,71071.0
2021-06-08,AR,IronSource,69326.0
2021-06-09,AR,IronSource,66940.0
2021-06-10,AR,IronSource,66255.0
2021-06-11,AR,IronSource,60386.0
2021-06-12,AR,IronSource,116747.0
2021-06-13,AR,IronSource,72975.0
2021-06-14,AR,IronSource,69504.0
2021-06-15,AR,IronSource,86503.0
2021-06-16,AR,IronSource,74522.0
