date,country,network,market_volume
2021-04-26,AR,Facebook,142416.0
2021-04-27,AR,Facebook,133633.0
2021-04-28,AR,Facebook,113668.0
2021-04-29,AR,Facebook,128007.0
2021-04-30,AR,Facebook,129085.0
2021-05-01,AR,Facebook,156049.0
2021-05-02,AR,Facebook,176649.0
2021-05-03,AR,Facebook,148778.0
2021-05-04,AR,Facebook,160724.0
2021-05-05,AR,Facebook,151202.0
2021-05-06,AR,Facebook,125340.0
2021-05-07,AR,Facebook,131398.0
2021-05-08,AR,Facebook,164710.0
2021-05-09,AR,Facebook,184477.0
2021-05-10,AR,Facebook,150247.0
2021-05-11,AR,Facebook,116154.0
2021-05-12,AR,Facebook,117745.0
2021-05-13,AR,Facebook,126588.0
2021-05-14,AR,Facebook,66049.0
2021-05-15,AR,Facebook,73560.0
2021-05-16,AR,Facebook,75270.0
2021-05-17,AR,Facebook,54924.0
2021-05-18,AR,Facebook,61573.0
2021-05-19,AR,Facebook,77126.0
2021-05-20,AR,Facebook,74322.0
2021-05-21,AR,Facebook,94497.0
2021-05-22,AR,Facebook,80859.0
2021-05-23,AR,Facebook,117549.0
2021-05-24,AR,Facebook,91565.0
2021-05-25,AR,Facebook,97613.0
2021-05-26,AR,Facebook,88392.0
2021-05-27,AR,Facebook,75367.0
2021-05-28,AR,Facebook,77667.0
2021-05-29,AR,Facebook,90154.0
2021-05-30,AR,Facebook,92871.0
2021-05-31,AR,Facebook,76112.0
2021-06-01,AR,Facebook,71031.0
2021-06-02,AR,Facebook,69629.0
2021-06-03,AR,Facebook,74610.0
2021-06-04,AR,Facebook,81099.0
2021-06-05,AR,Facebook,98032.0
2021-06-06,AR,Facebook,99116.0
2021-06-07,AR,Facebook,77779.0
2021-06-08,AR,Facebook,76546.0
2021-06-09,AR,Facebook,81295.0
2021-06-10,AR,Facebook,74450.0
2021-06-11,AR,Facebook,75168.0
2021-06-12,AR,Facebook,96343.0
2021-06-13,AR,Facebook,94456.0
2021-06-14,AR,Facebook,87160.0
2021-06-15,AR,Facebook,85847.0
2021-06-16,AR,Facebook,87311.0
2021-06-17,AR,Facebook,78733.0
2021-06-18,AR,Facebook,85071.0
2021-06-19,AR,Facebook,80968.0
2021-06-20,AR,Facebook,108889.0
2021-06-21,AR,Facebook,106467.0
2021-06-22,AR,Facebook,85849.0
2021-06-23,AR,Facebook,86371.0
2021-06-24,AR,Facebook,79121.0
2021-06-25,AR,Facebook,77845.0
2021-06-26,AR,Facebook,80420.0
2021-06-27,AR,Facebook,93665.0
2021-06-28,AR,Facebook,186502.0
2021-06-29,AR,Facebook,186333.0
2021-06-30,AR,Facebook,168564.0
2021-07-01,AR,Facebook,87046.0
2021-07-02,AR,Facebook,156164.0
2021-07-03,AR,Facebook,214008.0
2021-07-04,AR,Facebook,213113.0
2021-07-05,AR,Facebook,165195.0
2021-07-06,AR,Facebook,164739.0
