date,country,network,market_volume
2021-04-21,BR,Amazon,4893.0
2021-04-23,BR,Amazon,2399.0
2021-04-24,BR,Amazon,4318.0
2021-04-25,BR,Amazon,3603.0
2021-04-26,BR,Amazon,2598.0
2021-04-27,BR,Amazon,2188.0
2021-05-14,BR,Amazon,7954.0
2021-05-15,BR,Amazon,21371.0
2021-05-16,BR,Amazon,14007.0
2021-05-17,BR,Amazon,12190.0
2021-05-18,BR,Amazon,14789.0
2021-05-19,BR,Amazon,13558.0
2021-05-20,BR,Amazon,18839.0
2021-05-21,BR,Amazon,27605.0
2021-05-22,BR,Amazon,17632.0
2021-05-23,BR,Amazon,15119.0
2021-05-24,BR,Amazon,8611.0
2021-05-25,BR,Amazon,20043.0
2021-05-26,BR,Amazon,22630.0
2021-05-27,BR,Amazon,21119.0
2021-05-28,BR,Amazon,20020.0
2021-05-29,BR,Amazon,12567.0
2021-05-30,BR,Amazon,17372.0
2021-05-31,BR,Amazon,15677.0
2021-06-01,BR,Amazon,14988.0
2021-06-02,BR,Amazon,22327.0
2021-06-03,BR,Amazon,18671.0
2021-06-04,BR,Amazon,29345.0
2021-06-05,BR,Amazon,29871.0
2021-06-06,BR,Amazon,21708.0
2021-06-07,BR,Amazon,31452.0
2021-06-08,BR,Amazon,43187.0
2021-06-09,BR,Amazon,45115.0
2021-06-10,BR,Amazon,48536.0
2021-06-11,BR,Amazon,35716.0
2021-06-12,BR,Amazon,21287.0
2021-06-13,BR,Amazon,9880.0
2021-06-14,BR,Amazon,20124.0
2021-06-15,BR,Amazon,12219.0
2021-06-16,BR,Amazon,14686.0
2021-06-17,BR,Amazon,38343.0
2021-06-18,BR,Amazon,29265.0
2021-06-19,BR,Amazon,65273.0
2021-06-20,BR,Amazon,31824.0
2021-06-21,BR,Amazon,45468.0
2021-06-22,BR,Amazon,27877.0
2021-06-23,BR,Amazon,11904.0
2021-06-24,BR,Amazon,10136.0
2021-06-25,BR,Amazon,13350.0
2021-06-26,BR,Amazon,4020.0
