date,country,network,market_volume
2021-04-26,AR,other,48326.0
2021-04-27,AR,other,40699.0
2021-04-28,AR,other,40022.0
2021-04-29,AR,other,46145.0
2021-04-30,AR,other,50431.0
2021-05-01,AR,other,100501.0
2021-05-02,AR,other,133485.0
2021-05-03,AR,other,114966.0
2021-05-04,AR,other,108074.0
2021-05-05,AR,other,102585.0
2021-05-06,AR,other,94844.0
2021-05-07,AR,other,88473.0
2021-05-08,AR,other,133940.0
2021-05-09,AR,other,119010.0
2021-05-10,AR,other,109913.0
2021-05-11,AR,other,107438.0
2021-05-12,AR,other,87772.0
2021-05-13,AR,other,97827.0
2021-05-14,AR,other,107594.0
2021-05-15,AR,other,126604.0
2021-05-16,AR,other,177433.0
2021-05-17,AR,other,129924.0
2021-05-18,AR,other,102594.0
2021-05-19,AR,other,40759.0
2021-05-20,AR,other,49751.0
2021-05-21,AR,other,51713.0
2021-05-22,AR,other,48619.0
2021-05-23,AR,other,59227.0
2021-05-24,AR,other,54512.0
2021-05-25,AR,other,57942.0
2021-05-26,AR,other,47569.0
2021-05-27,AR,other,52800.0
2021-05-28,AR,other,54120.0
2021-05-29,AR,other,68035.0
2021-05-30,AR,other,59810.0
2021-05-31,AR,other,51575.0
2021-06-01,AR,other,46513.0
2021-06-02,AR,other,46060.0
2021-06-03,AR,other,45150.0
2021-06-04,AR,other,50713.0
2021-06-05,AR,other,63143.0
2021-06-06,AR,other,58723.0
2021-06-07,AR,other,53666.0
2021-06-08,AR,other,44147.0
2021-06-09,AR,other,26242.0
2021-06-10,AR,other,41818.0
2021-06-11,AR,other,46766.0
2021-06-12,AR,other,57804.0
2021-06-13,AR,other,55245.0
2021-06-14,AR,other,51299.0
2021-06-15,AR,other,44288.0
2021-06-16,AR,other,49577.0
2021-06-17,AR,other,29593.0
2021-06-18,AR,other,33023.0
2021-06-19,AR,other,54097.0
2021-06-20,AR,other,69930.0
2021-06-21,AR,other,36795.0
2021-06-22,AR,other,55328.0
2021-06-23,AR,other,34785.0
2021-06-24,AR,other,48866.0
2021-06-25,AR,other,63140.0
2021-06-26,AR,other,83244.0
2021-06-27,AR,other,98121.0
2021-06-28,AR,other,84360.0
2021-06-29,AR,other,78185.0
2021-06-30,AR,other,133040.0
2021-07-01,AR,other,155287.0
2021-07-02,AR,other,142487.0
2021-07-03,AR,other,139080.0
2021-07-04,AR,other,113479.0
2021-07-05,AR,other,74330.0
2021-07-06,AR,other,48709.0
2021-07-07,AR,other,42980.0
2021-07-08,AR,other,42823.0
2021-07-09,AR,other,34814.0
2021-07-10,AR,other,35759.0
2021-07-11,AR,other,39268.0
2021-07-12,AR,other,32881.0
2021-07-13,AR,other,33184.0
2021-07-14,AR,other,34170.0
2021-07-15,AR,other,29438.0
2021-07-16,AR,other,34435.0
2021-07-17,AR,other,34340.0
2021-07-18,AR,other,38506.0
2021-07-19,AR,other,32692.0
2021-07-20,AR,other,32696.0
2021-07-21,AR,other,30678.0
2021-07-22,AR,other,45132.0
2021-07-23,AR,other,14207.0
2021-07-24,AR,other,32215.0
2021-07-25,AR,other,19434.0
2021-07-26,AR,other,16543.0
2021-07-27,AR,other,24721.0
2021-07-28,AR,other,26244.0
2021-07-29,AR,other,12783.0
2021-07-30,AR,other,14155.0
2021-07-31,AR,other,16959.0
2021-08-01,AR,other,22927.0
2021-08-02,AR,other,26129.0
2021-08-03,AR,other,24135.0
2021-08-04,AR,other,27420.0
2021-08-05,AR,other,24337.0
2021-08-06,AR,other,26095.0
2021-08-07,AR,other,29136.0
2021-08-08,AR,other,33356.0
2021-08-09,AR,other,27657.0
2021-08-10,AR,other,36725.0
2021-08-11,AR,other,32708.0
2021-08-12,AR,other,39016.0
2021-08-13,AR,other,27797.0
2021-08-14,AR,other,31710.0
2021-08-15,AR,other,36630.0
2021-08-16,AR,other,32597.0
2021-08-17,AR,other,34825.0
2021-08-18,AR,other,34211.0
2021-08-19,AR,other,32356.0
2021-08-20,AR,other,30977.0
2021-08-21,AR,other,42144.0
2021-08-22,AR,other,27632.0
2021-08-23,AR,other,21316.0
2021-08-24,AR,other,33269.0
2021-08-25,AR,other,37230.0
2021-08-26,AR,other,33401.0
2021-08-27,AR,other,68787.0
2021-08-28,AR,other,78268.0
2021-08-29,AR,other,57916.0
2021-08-30,AR,other,60419.0
2021-08-31,AR,other,53440.0
2021-09-01,AR,other,49032.0
2021-09-02,AR,other,40595.0
2021-09-03,AR,other,38489.0
2021-09-04,AR,other,39835.0
2021-09-05,AR,other,39254.0
2021-09-06,AR,other,35008.0
2021-09-07,AR,other,28780.0
2021-09-08,AR,other,37048.0
2021-09-09,AR,other,31193.0
2021-09-10,AR,other,32694.0
2021-09-11,AR,other,36103.0
2021-09-12,AR,other,32168.0
2021-09-13,AR,other,21178.0
2021-09-14,AR,other,17922.0
2021-09-15,AR,other,19346.0
2021-09-16,AR,other,24007.0
2021-09-17,AR,other,24631.0
2021-09-18,AR,other,27434.0
2021-09-19,AR,other,34630.0
2021-09-20,AR,other,19541.0
2021-09-21,AR,other,15913.0
2021-09-22,AR,other,17892.0
2021-09-24,AR,other,22394.0
2021-09-25,AR,other,30466.0
2021-09-26,AR,other,31204.0
2021-09-27,AR,other,23221.0
2021-09-28,AR,other,24785.0
2021-09-29,AR,other,27288.0
2021-09-30,AR,other,24897.0
2021-10-01,AR,other,23586.0
2021-10-02,AR,other,23893.0
2021-10-03,AR,other,28965.0
2021-10-04,AR,other,20784.0
2021-10-05,AR,other,20902.0
2021-10-06,AR,other,21629.0
2021-10-07,AR,other,21933.0
2021-10-08,AR,other,30044.0
2021-10-09,AR,other,31851.0
2021-10-10,AR,other,28010.0
2021-10-11,AR,other,24616.0
2021-10-12,AR,other,18074.0
2021-10-13,AR,other,22337.0
2021-10-14,AR,other,23513.0
2021-10-15,AR,other,24172.0
