date,country,network,market_volume
2021-04-26,UK,IronSource,315111.0
2021-04-27,UK,IronSource,367159.0
2021-04-28,UK,IronSource,339387.0
2021-04-29,UK,IronSource,224036.0
2021-04-30,UK,IronSource,394185.0
2021-05-01,UK,IronSource,483673.0
2021-05-02,UK,IronSource,425562.0
2021-05-03,UK,IronSource,510285.0
2021-05-04,UK,IronSource,281650.0
2021-05-05,UK,IronSource,262358.0
2021-05-06,UK,IronSource,305272.0
2021-05-07,UK,IronSource,240380.0
2021-05-08,UK,IronSource,437124.0
2021-05-09,UK,IronSource,340395.0
2021-05-10,UK,IronSource,225526.0
2021-05-11,UK,IronSource,199463.0
2021-05-12,UK,IronSource,231944.0
2021-05-13,UK,IronSource,285803.0
2021-05-14,UK,IronSource,270231.0
2021-05-15,UK,IronSource,431411.0
2021-05-16,UK,IronSource,324469.0
2021-05-17,UK,IronSource,248542.0
2021-05-18,UK,IronSource,293978.0
2021-05-19,UK,IronSource,194114.0
2021-05-20,UK,IronSource,332852.0
2021-05-21,UK,IronSource,298344.0
2021-05-22,UK,IronSource,409140.0
2021-05-23,UK,IronSource,387015.0
2021-05-24,UK,IronSource,237111.0
2021-05-25,UK,IronSource,214433.0
2021-05-26,UK,IronSource,223309.0
2021-05-27,UK,IronSource,205549.0
2021-05-28,UK,IronSource,212603.0
2021-05-29,UK,IronSource,276273.0
2021-05-30,UK,IronSource,295994.0
2021-05-31,UK,IronSource,347075.0
2021-06-01,UK,IronSource,255231.0
2021-06-02,UK,IronSource,293161.0
2021-06-03,UK,IronSource,250279.0
2021-06-04,UK,IronSource,305379.0
2021-06-05,UK,IronSource,344172.0
2021-06-06,UK,IronSource,304833.0
2021-06-07,UK,IronSource,235752.0
2021-06-08,UK,IronSource,185374.0
2021-06-09,UK,IronSource,226280.0
2021-06-10,UK,IronSource,271238.0
2021-06-11,UK,IronSource,297888.0
2021-06-12,UK,IronSource,340483.0
2021-06-13,UK,IronSource,411521.0
2021-06-14,UK,IronSource,305417.0
2021-06-15,UK,IronSource,323998.0
2021-06-16,UK,IronSource,246162.0
2021-06-17,UK,IronSource,279706.0
2021-06-18,UK,IronSource,259182.0
2021-06-19,UK,IronSource,432078.0
2021-06-20,UK,IronSource,458122.0
2021-06-21,UK,IronSource,271857.0
2021-06-22,UK,IronSource,230153.0
2021-06-23,UK,IronSource,218635.0
2021-06-24,UK,IronSource,238655.0
2021-06-25,UK,IronSource,285992.0
2021-06-26,UK,IronSource,362865.0
2021-06-27,UK,IronSource,350692.0
2021-06-28,UK,IronSource,218928.0
2021-06-29,UK,IronSource,191413.0
2021-06-30,UK,IronSource,195613.0
2021-07-01,UK,IronSource,206448.0
2021-07-02,UK,IronSource,227842.0
2021-07-03,UK,IronSource,302584.0
2021-07-04,UK,IronSource,380793.0
2021-07-05,UK,IronSource,249892.0
2021-07-06,UK,IronSource,241728.0
2021-07-07,UK,IronSource,246102.0
2021-07-08,UK,IronSource,214314.0
2021-07-09,UK,IronSource,229321.0
2021-07-10,UK,IronSource,375653.0
2021-07-11,UK,IronSource,415695.0
2021-07-12,UK,IronSource,260890.0
2021-07-13,UK,IronSource,250485.0
2021-07-14,UK,IronSource,240449.0
2021-07-15,UK,IronSource,181172.0
2021-07-16,UK,IronSource,240818.0
2021-07-17,UK,IronSource,316327.0
2021-07-18,UK,IronSource,255340.0
2021-07-19,UK,IronSource,287011.0
2021-07-20,UK,IronSource,329425.0
2021-07-21,UK,IronSource,385142.0
2021-07-22,UK,IronSource,383303.0
2021-07-23,UK,IronSource,349429.0
2021-07-24,UK,IronSource,327766.0
2021-07-25,UK,IronSource,426823.0
2021-07-26,UK,IronSource,382970.0
2021-07-27,UK,IronSource,425190.0
2021-07-28,UK,IronSource,397583.0
2021-07-29,UK,IronSource,296922.0
2021-07-30,UK,IronSource,371226.0
2021-07-31,UK,IronSource,389637.0
2021-08-01,UK,IronSource,530403.0
2021-08-02,UK,IronSource,381056.0
2021-08-03,UK,IronSource,373231.0
