date,country,network,market_volume
2021-04-26,WW,Chartboost,7343231.0
2021-04-27,WW,Chartboost,6854917.0
2021-04-28,WW,Chartboost,8843202.0
2021-04-29,WW,Chartboost,7601763.0
2021-04-30,WW,Chartboost,8180478.0
2021-05-01,WW,Chartboost,7808074.0
2021-05-02,WW,Chartboost,9991641.0
2021-05-03,WW,Chartboost,8168233.0
2021-05-04,WW,Chartboost,7524571.0
2021-05-05,WW,Chartboost,7356173.0
2021-05-06,WW,Chartboost,7490896.0
2021-05-07,WW,Chartboost,7021080.0
2021-05-08,WW,Chartboost,8248892.0
2021-05-09,WW,Chartboost,10183073.0
2021-05-10,WW,Chartboost,6788901.0
2021-05-11,WW,Chartboost,6704169.0
2021-05-12,WW,Chartboost,6645128.0
2021-05-13,WW,Chartboost,6978001.0
2021-05-14,WW,Chartboost,6087915.0
2021-05-15,WW,Chartboost,8682716.0
2021-05-16,WW,Chartboost,10801137.0
2021-05-17,WW,Chartboost,5618040.0
2021-05-18,WW,Chartboost,6623859.0
2021-05-19,WW,Chartboost,5444474.0
2021-05-20,WW,Chartboost,6887568.0
2021-05-21,WW,Chartboost,7402858.0
2021-05-22,WW,Chartboost,8427719.0
2021-05-23,WW,Chartboost,7083410.0
2021-05-24,WW,Chartboost,5974940.0
2021-05-25,WW,Chartboost,5414378.0
2021-05-26,WW,Chartboost,5505374.0
2021-05-27,WW,Chartboost,5821329.0
2021-05-28,WW,Chartboost,8222824.0
2021-05-29,WW,Chartboost,7781144.0
2021-05-30,WW,Chartboost,7955672.0
2021-05-31,WW,Chartboost,8143274.0
2021-06-01,WW,Chartboost,7810175.0
2021-06-02,WW,Chartboost,7715404.0
2021-06-03,WW,Chartboost,6488463.0
2021-06-04,WW,Chartboost,7992094.0
2021-06-05,WW,Chartboost,9813839.0
2021-06-06,WW,Chartboost,9600744.0
2021-06-07,WW,Chartboost,8229576.0
2021-06-08,WW,Chartboost,7092325.0
2021-06-09,WW,Chartboost,6970176.0
2021-06-10,WW,Chartboost,7381114.0
2021-06-11,WW,Chartboost,6140825.0
2021-06-12,WW,Chartboost,6682081.0
2021-06-13,WW,Chartboost,7343786.0
2021-06-14,WW,Chartboost,6433423.0
2021-06-15,WW,Chartboost,5447561.0
2021-06-16,WW,Chartboost,6581856.0
2021-06-17,WW,Chartboost,6532267.0
2021-06-18,WW,Chartboost,7032138.0
2021-06-19,WW,Chartboost,8297965.0
2021-06-20,WW,Chartboost,10176097.0
2021-06-21,WW,Chartboost,6790985.0
2021-06-22,WW,Chartboost,6225343.0
2021-06-23,WW,Chartboost,6302098.0
2021-06-24,WW,Chartboost,6158476.0
2021-06-25,WW,Chartboost,6627166.0
2021-06-26,WW,Chartboost,8858333.0
2021-06-27,WW,Chartboost,7424689.0
2021-06-28,WW,Chartboost,6227863.0
2021-06-29,WW,Chartboost,6297208.0
2021-06-30,WW,Chartboost,6312399.0
2021-07-01,WW,Chartboost,6689527.0
2021-07-02,WW,Chartboost,6872030.0
2021-07-03,WW,Chartboost,7635360.0
2021-07-04,WW,Chartboost,8117326.0
2021-07-05,WW,Chartboost,7100040.0
2021-07-06,WW,Chartboost,7147850.0
2021-07-07,WW,Chartboost,6743323.0
2021-07-08,WW,Chartboost,8419571.0
2021-07-09,WW,Chartboost,6903993.0
2021-07-10,WW,Chartboost,7617626.0
2021-07-11,WW,Chartboost,8107495.0
